current_rest_link,review_date,review_comments,review_rating
f5ek/liu-dian-zhong-yang-sheng-dun-tang,4/2/2021,"吃一年了 還是覺得很好吃, CP值又高, 聽說老闆天天熬湯到半夜很辛苦, 難怪食材那麼新鮮, 推薦很多朋友吃他們都愛上！",5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,3/24/2021,不太好吃,1/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,3/22/2021,真的湯很好喝，真材實料，CP值超高，已經吃了很多次，還會繼續選購,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,3/21/2021,好吃～套餐的小菜超有誠意的！份量十足又美味👍👍👍,5/5
f5ek/liu-dian-zhong-yang-sheng-dun-tang,3/12/2021,車輪好鹹,3/5
d4qd/lin-shi-ya-rou,10/13/2021,好吃~,5/5
d4qd/lin-shi-ya-rou,10/11/2021,不錯吃,5/5
d4qd/lin-shi-ya-rou,10/9/2021,想辛辛苦苦恍恍惚惚恍恍惚惚開心吃吃吃吃吃吃吃吃正在學習能力 刺 ㄇ,2/5
d4qd/lin-shi-ya-rou,10/8/2021,很慢,1/5
d4qd/lin-shi-ya-rou,9/14/2021,好好吃 推推麻油血糕,5/5
d4qd/lin-shi-ya-rou,9/13/2021,飯太空虛，沒有50元的價值 別家名店都比他便宜又豐富,1/5
d4qd/lin-shi-ya-rou,9/13/2021,鴨心感覺沒有很新鮮,3/5
d4qd/lin-shi-ya-rou,9/13/2021,餐點等很久,3/5
d4qd/lin-shi-ya-rou,9/13/2021,優良。,5/5
d4qd/lin-shi-ya-rou,9/12/2021,點大碗的鴨肉飯 結果上面的鴨肉也才幾塊而已 是在吃白飯吧,2/5
d4qd/lin-shi-ya-rou,9/11/2021,韭菜豆芽$60，結果韭菜2根，如果韭菜太貴，乾脆不要賣，這種價格給這樣的量，瞎,3/5
d4qd/lin-shi-ya-rou,9/8/2021,飯、湯、米血和鴨蛋都好吃！,5/5
d4qd/lin-shi-ya-rou,9/7/2021,在防疫酒店訂的外送沒附餐具，要用手拿來吃,1/5
d4qd/lin-shi-ya-rou,9/5/2021,口味很好,5/5
d4qd/lin-shi-ya-rou,9/4/2021,鴨肉飯小的肉絲太少了 跟現場買有差,2/5
d4qd/lin-shi-ya-rou,9/2/2021,米血好吃,3/5
d4qd/lin-shi-ya-rou,8/27/2021,餐點不錯但沒有附贈到餐具..,3/5
d4qd/lin-shi-ya-rou,8/25/2021,"鴨蛋不錯吃,但飯湯的湯頭不錯,只是鴨肉有點少",3/5
d4qd/lin-shi-ya-rou,8/23/2021,快速,5/5
d4qd/lin-shi-ya-rou,8/22/2021,好吃但份量很少，大碗很小份,3/5
d4qd/lin-shi-ya-rou,8/20/2021,超級好吃！,5/5
d4qd/lin-shi-ya-rou,8/19/2021,優良,5/5
d4qd/lin-shi-ya-rou,8/16/2021,物有所值,5/5
d4qd/lin-shi-ya-rou,8/14/2021,鴨肉切盤不推！份量很少,2/5
d4qd/lin-shi-ya-rou,8/13/2021,煙燻鴨蛋一絕，幾乎沒有雷點 除了米血品質不是很穩定其它無可挑剔,5/5
d4qd/lin-shi-ya-rou,8/12/2021,餐點口味美味！當歸鴨心湯很好喝～,5/5
d4qd/lin-shi-ya-rou,8/5/2021,"鴨肉新鮮軟嫩,份量也不錯 有加點了燙青菜跟豆芽 燙青菜份量為一人份 豆芽則是兩人份左右的量 整體來說經濟實惠",5/5
d4qd/lin-shi-ya-rou,8/4/2021,鴨肉整個都是鴨毛,2/5
d4qd/lin-shi-ya-rou,8/2/2021,飯很好吃 吃過最好吃的鴨肉飯ㄌ 很下飯,5/5
d4qd/lin-shi-ya-rou,7/30/2021,好吃，便宜，CP值高,5/5
d4qd/lin-shi-ya-rou,7/29/2021,味道好，但今天鴨肉飯的肉較少,5/5
d4qd/lin-shi-ya-rou,7/27/2021,大碗鴨肉飯確定是大碗嗎⋯,3/5
d4qd/lin-shi-ya-rou,7/23/2021,內臟有些許腥味,2/5
d4qd/lin-shi-ya-rou,7/22/2021,味道清爽，乾淨，即使外送也能享受好吃的食物,5/5
d4qd/lin-shi-ya-rou,7/21/2021,第一次點餐，點了鴨腿乾油麵、空心菜跟蘿蔔湯，鴨腿有煙燻香氣，很嫩不柴，青菜跟湯都很清爽好吃，可是燙青菜裡面出現一塊塑膠包裝紙（大概2＊2公分）好扣分啊…,4/5
d4qd/lin-shi-ya-rou,7/21/2021,東西很好吃。,5/5
d4qd/lin-shi-ya-rou,7/20/2021,今天飯比較軟,3/5
d4qd/lin-shi-ya-rou,7/20/2021,很好吃,5/5
d4qd/lin-shi-ya-rou,7/20/2021,送錯餐點了,3/5
d4qd/lin-shi-ya-rou,7/18/2021,鴨肉麵湯味道比較淡,4/5
d4qd/lin-shi-ya-rou,7/17/2021,不錯,5/5
d4qd/lin-shi-ya-rou,7/15/2021,優良,5/5
d4qd/lin-shi-ya-rou,7/14/2021,訂了很多次，這次飯很硬，沒熟一樣,3/5
d4qd/lin-shi-ya-rou,7/13/2021,好吃,5/5
d4qd/lin-shi-ya-rou,7/13/2021,吃了好多次，鴨肉飯跟米血超好吃的,5/5
d4qd/lin-shi-ya-rou,7/12/2021,好吃,5/5
d4qd/lin-shi-ya-rou,7/12/2021,品質穩定。,5/5
d4qd/lin-shi-ya-rou,7/11/2021,外送一樣很美味，推推,5/5
d4qd/lin-shi-ya-rou,7/6/2021,不錯,5/5
d4qd/lin-shi-ya-rou,7/3/2021,非常好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/20/2021,便當冷的肉也硬的，,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/20/2021,很好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/17/2021,滷肉都滷太久硬掉 豬腳也沒筋沒肉 唯一能吃的是小肉羹 可惜,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/14/2021,肉太乾了不好吃,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/5/2021,沒入味 油飯也太硬,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,9/2/2021,木耳的味道有點重 還是蠻好吃的,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/28/2021,豬皮和滷味有很重的騷味,2/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/24/2021,油飯有點乾、上面的兩塊肉沒有很新鮮,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/19/2021,份量很ok ，滷小腸不錯，但封肉很乾，筍絲很甜,4/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/17/2021,份量超足，但是口味普通，粗飽推薦，cp值高,4/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/15/2021,味道很古早味 又好吃，份量很飽滿,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/15/2021,好吃，份量又多～,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/14/2021,不好吃….,2/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/13/2021,第一次訂購，很好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/11/2021,👍,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/8/2021,好吃 東西又熱 很實惠 回購,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/8/2021,點香菇肉羹，一朵一片菇都沒看到…,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/7/2021,真的很不錯哦,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,8/5/2021,除了封肉太柴外 其他都非常棒,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/27/2021,吃到鋼絲..,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/24/2021,難吃又貴,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/22/2021,很傳統的好滋味，料多實在，好吃哦,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/21/2021,超好吃了，100分 而且份量超足!! 但老闆 鹽可以再少一點😃 真的很美味，但鹽真的有點太～～～多了點，省點食材成本沒關係啦😃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/16/2021,香菇肉羹非常好吃，加飯更是絶配，女兒吃光光，超推薦！,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/16/2021,豬腳飯真的無敵好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/15/2021,封肉 這麼小塊 需要400元 貴 內門封肉有炸過 他並沒有 不好吃,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/11/2021,肉稍微乾一點！整體還不錯,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/11/2021,餐點太鹹，油飯口味讓人失望,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/11/2021,有點肉羹裡面卻完全沒肉羹 反而多一個不知道是什麼的東西🙄,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/9/2021,好吃，料多，大碗的真的吃不完😀,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/8/2021,羹不夠熱,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/7/2021,好吃耶！,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/2/2021,都打翻了，怎麼吃? 拜託使用好一點的外帶餐具吧！碗跟蓋子大小不夠密合，那間外帶碗蓋像你家一樣啊！好歹黏個膠帶固定一下吧！,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/2/2021,太鹹,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/2/2021,料多味美肉大塊,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/1/2021,真的是古早味，好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,7/1/2021,常客～東西真的好吃便宜又大碗( ´▽｀),5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/30/2021,瘦肉太硬了…好可惜,1/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/28/2021,好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/26/2021,油飯沒有很對胃，可能因為送來時不熱了變很硬！香菇肉羹的料還蠻多的,4/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/24/2021,值得買美食,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/17/2021,美味cp值高,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/16/2021,飯量太少，吃不飽,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/16/2021,好吃不雷👍份量充足，價格親民。,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/16/2021,我看其他人對店家的評價而訂購。評價是真的，沒有灌水。,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/14/2021,美味量足,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/13/2021,真的好吃！,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/12/2021,送錯餐點了...,3/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/9/2021,很好吃,5/5
vjqc/zong-pu-shi-nei-men-gu-zao-wei,6/5/2021,👍。難得沒有被雷到的餐點 加油♥,5/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,10/12/2021,鍋燒麵放魚皮是一個敗筆破壞了整個味道，魚皮適合加配料如薑絲，沒有壓不過魚皮本身的特殊腥味,4/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,9/1/2021,豬肉多多 跟一般火鍋沒兩樣,4/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/30/2021,裡面有小蟑螂,1/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/28/2021,非常好吃 湯頭獨特 料也滿滿滿,5/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/21/2021,湯頭好喝 不會過鹹～不錯,5/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/13/2021,料很多、湯頭也好喝！好喜歡☺️,5/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/9/2021,小卷完全沒有味道。虱目魚有一股自來水味。,4/5
no1b/jia-yu-xian-hai-xian-guo-shao-zhuan-mai-gao-xiong-ji-lin-dian,8/6/2021,非常好吃，湯頭鮮美，份量剛好！推,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,10/10/2021,沒味道，飲料不對,3/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,10/8/2021,等太久，依時間抵達連訂單都沒確認就說還沒好,3/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,10/5/2021,我點麻油猴頭菇跟本都沒麻油味道。價位不便宜裡面料很少,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,10/2/2021,之前都很好，最近3次備註感覺都是白寫的,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/26/2021,白飯呢？,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/26/2021,湯頭鮮甜 特別的火鍋體驗,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/25/2021,建議冬粉另外放，送到達時，火鍋湯底快被冬粉吸光了,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/25/2021,難吃,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/21/2021,湯頭超濃郁，料也很豐盛，超讚,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/15/2021,好吃又平價,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/12/2021,食物沒有特別驚艷之處，但總體感覺不錯,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/12/2021,好吃 料也很多🥰,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/12/2021,18:30外送取餐，約定18:50到了才知還沒做餐，19:30才拿到餐點，大扣分！！,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/11/2021,蕃茄鍋的湯底難喝,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/11/2021,火鍋好吃，飲品好喝，物超所值，是好店家,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/6/2021,好吃😋,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/6/2021,食材很新鮮，料也很多，很好吃！ 可是沙茶鍋真的好沙茶，太油了！ 希望有原味鍋可以給口味清淡的饕客選擇！,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,9/5/2021,超好吃（不過冬粉有點多，飯量小的建議兩個人吃）,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/30/2021,沒有到很好吃,3/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/29/2021,服務夥伴人員很好 東西超好吃,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/29/2021,料多味美～,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/29/2021,好吃,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/24/2021,牛奶鍋的奶味淡了一點，就顯的湯頭蠻清爽，蔬菜是真蠻多。如果想吃清淡一點的鍋會再訂！,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/23/2021,超好吃😋,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/23/2021,只有蔬菜跟肉但量不多，湯頭還可以，蘿蔔太生 但是包裝需要加強，醬料盒熱到融化變形有點誇張,2/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/21/2021,有點選要餐具，沒有筷子沒有碗沒有湯匙怎麼吃呢！ 然後份量變少了⋯⋯怎麼會這樣？！,3/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/15/2021,很好吃，份量很多，食材實在，會再買,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/14/2021,番茄湯頭超濃郁，食材新鮮、份量超大，一個人吃不完，CP值很高,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/13/2021,我也不知道是哪裡出了問題 綠茶超澀 鮮奶茶加芋圓 沒味道就算了還很硬 起司豬肉火鍋完全看不到起司在哪裡 而且味道很奇妙 蘿蔔都捧心 整個湯頭都是渣渣 我以為我在吃百元小火鍋 但這花了我2百多快三百 第一次這樣打評論 感恩的心 下次不踩雷了,1/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/12/2021,猴頭菇不好吃味道怪怪的但是湯頭是好吃的,2/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/12/2021,好吃😋,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/12/2021,好吃，料很多 口味很夠味👍,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/12/2021,湯頭出乎意料的感覺到店家的用心烹煮，點了一個麻辣，一個起司牛奶，兩鍋都好吃，而且份量超多，還有附贈一碗肉鬆飯，只是肉鬆少了些，下次會願意再嘗試別的口味,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/8/2021,建議冬粉另外裝 不然湯容易被吸光,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/6/2021,好多料喔！,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/5/2021,沒備註火鍋有附飯和冬粉，害我另外多點了阿~~~東西好吃，料多實在，而且沒火鍋料，都是蔬菜，肉的份量也很多，牛奶湯的部分再更濃一點就好了。草莓汽水好喝，奶蓋綠個人覺得還好。,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/4/2021,雖然有折扣...... 可是火鍋的內容物也跟著折扣了！,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/4/2021,火鍋湯底很濃郁，內容物也豐富 建議冬粉可以另外裝 今天叫一杯紅茶+三寶什麼圓的（太硬了）,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/4/2021,火鍋非常美味！唯一的意見是沾醬的盒子真的太小太小了！量不會太少但盒子小到超難沾,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/2/2021,蔬菜量很多合胃口,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,8/2/2021,料好實在，口味超棒,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/30/2021,非常好吃,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/29/2021,超好吃料多實在,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/28/2021,口味清爽好吃，建議雙倍肉肉，冬粉要趕快撈起來。,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/27/2021,包裝非常不恰當，來到現場沾醬的塑膠盒都因過熱變形外漏，還沒開吃就要先收拾殘局的感覺很差,4/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/27/2021,飲料好喝 鍋物普普,3/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/27/2021,好吃，備註的部分也給的很客氣,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/26/2021,食材新鮮湯頭好,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/25/2021,量多好吃,5/5
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,7/25/2021,非常讚,5/5
k1su/qian-feng-zi-zhu-can,10/12/2021,雞肉酸掉了,2/5
k1su/qian-feng-zi-zhu-can,10/5/2021,配菜變超少的,2/5
k1su/qian-feng-zi-zhu-can,9/16/2021,普通，價格合理,4/5
k1su/qian-feng-zi-zhu-can,9/12/2021,CP值很高，好吃,5/5
k1su/qian-feng-zi-zhu-can,9/11/2021,我媽媽說。。。不錯吃，只是，因為她牙齒不好，所以，下次會點比較軟的葉菜類食物，再請店家留意，感謝！,5/5
k1su/qian-feng-zi-zhu-can,9/2/2021,好吃，份量足！收入口袋名單,5/5
k1su/qian-feng-zi-zhu-can,8/30/2021,菜都過鹹了,3/5
k1su/qian-feng-zi-zhu-can,8/11/2021,好吃,5/5
k1su/qian-feng-zi-zhu-can,8/5/2021,好吃,5/5
k1su/qian-feng-zi-zhu-can,7/28/2021,準備餐點時間太久,2/5
k1su/qian-feng-zi-zhu-can,7/26/2021,配菜方面有待加強,1/5
k1su/qian-feng-zi-zhu-can,7/17/2021,主菜跟菜脯蛋蠻鹹的 其他配菜還可以,4/5
k1su/qian-feng-zi-zhu-can,7/15/2021,讚,5/5
k1su/qian-feng-zi-zhu-can,7/6/2021,菜色非常一般,4/5
k1su/qian-feng-zi-zhu-can,7/2/2021,食物不是很新鮮,3/5
k1su/qian-feng-zi-zhu-can,7/2/2021,備註都有符合 非常棒,5/5
